trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",20,12,-55.457452566882715,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9025}",20,0,-127.31303907993362,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.8573749999999999}",30,8,-35.76981038273338,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.8145062499999999}",20,0,-96.10925945677792,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.7737809374999998}",30,0,-210.20911894044633,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
6,False,"{'a': 0.01, 'e': 0.7350918906249998}",25,6,-140.5642919068924,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 3}",1
7,False,"{'a': 0.01, 'e': 0.6983372960937497}",25,0,-63.3423774662625,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.6634204312890623}",20,0,-77.39524587085701,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.6302494097246091}",20,0,-29.316659770801266,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.5987369392383787}",20,0,-109.63938305834338,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.5688000922764597}",25,0,-80.08166060511559,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.5403600876626367}",30,0,-52.88604460696447,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.5133420832795048}",30,7,14.588858249307968,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.48767497911552954}",20,0,-49.97554591221247,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.46329123015975304}",25,0,-8.368254959648542,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.44012666865176536}",20,0,-45.38039374237013,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.4181203352191771}",20,0,-53.609220837367346,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.01, 'e': 0.3972143184582182}",20,0,-36.23598810377894,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.37735360253530725}",20,6,-26.770825092767776,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.3584859224085419}",20,3,-69.1965946555482,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.3405616262881148}",30,14,3.137169591982012,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.323533544973709}",30,20,-6.374286588183416,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.3073568677250236}",30,13,14.00863887358149,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.2919890243387724}",20,0,10.977227225857357,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.27738957312183377}",20,0,6.922196465391051,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.26352009446574204}",20,8,24.3331638077777,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.2503440897424549}",20,8,-54.41889950188867,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.01, 'e': 0.23782688525533216}",25,8,-55.205863467626166,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
29,False,"{'a': 0.01, 'e': 0.22593554099256555}",20,13,6.913160493922595,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.21463876394293727}",20,9,19.73003606311632,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.2039068257457904}",25,7,-22.790108568926755,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.01, 'e': 0.19371148445850087}",20,15,10.661704600508532,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.18402591023557582}",20,13,13.921968277817077,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.174824614723797}",30,13,19.621712293507183,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.16608338398760716}",25,12,16.741970629798413,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.1577792147882268}",20,16,6.6516866813231506,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.14989025404881545}",20,13,12.382979373099618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.14239574134637467}",20,4,24.933753988783895,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.13527595427905592}",35,18,9.215735735300214,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.12851215656510312}",25,6,-22.40650544177391,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.12208654873684796}",25,12,24.42690139376528,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.11598222130000556}",20,10,-24.58580717399163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.11018311023500528}",25,15,-1.2533137862785246,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.10467395472325501}",25,16,-24.512663198625937,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.09944025698709225}",30,19,8.404797383470553,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.09446824413773763}",20,5,-17.627333169290196,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.01, 'e': 0.08974483193085075}",20,14,-27.64806076695406,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.0852575903343082}",20,13,0.6348076091924266,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.0809947108175928}",25,19,10.72021279941487,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.07694497527671315}",25,15,23.84349205392739,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.07309772651287749}",20,0,19.531902199513862,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
