trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.99}",20,0,-73.30839932027538,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9801}",30,0,-202.92988309901324,"{0: 12, 1: 4, 2: 12, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.970299}",20,0,-98.93867316341827,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.96059601}",20,0,-72.4620182879051,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9509900498999999}",20,0,-30.086780046518292,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.941480149401}",35,16,-97.68164168176109,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.01, 'e': 0.9320653479069899}",30,0,-99.510009939979,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9227446944279201}",20,0,-61.47613580660639,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9135172474836408}",20,0,-145.7048123839583,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9043820750088044}",25,0,-47.062866220483706,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8953382542587164}",25,0,-79.28217370849013,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8863848717161292}",25,0,-33.03273956046839,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8775210229989678}",20,1,-32.49795755909452,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.8687458127689782}",20,0,-50.66710991517547,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8600583546412884}",20,0,-106.845824638948,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8514577710948755}",25,0,-163.2594307771761,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.8429431933839268}",30,0,-57.669200300174374,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.8345137614500875}",25,0,-21.21802442987566,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.8261686238355866}",20,1,-13.368681688252082,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.8179069375972308}",20,0,-80.36300421564106,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8097278682212584}",25,0,-37.6096508271992,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.8016305895390459}",20,4,-65.51755289618741,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.01, 'e': 0.7936142836436554}",20,0,-216.41169007025852,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 5}",0
24,False,"{'a': 0.01, 'e': 0.7856781408072188}",30,0,-75.5821231825493,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7778213593991467}",20,0,-42.853855814994716,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.7700431458051551}",25,0,-70.77226756592582,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.7623427143471035}",20,0,-107.95703154280001,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.7547192872036326}",35,3,-84.45560803138058,"{0: 23, 1: 2, 2: 5, 3: 1, 4: 1}",1
29,False,"{'a': 0.01, 'e': 0.7471720943315961}",20,8,4.609565591316358,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.7397003733882802}",30,16,-6.786534080856825,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.7323033696543975}",20,0,-36.98933902863032,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.7249803359578534}",25,0,-49.206037749974186,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.7177305325982749}",20,0,-119.4987706916064,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.7105532272722921}",30,0,-16.459043163640228,"{0: 23, 1: 6, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.7034476949995692}",25,0,-2.3518187078887465,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.6964132180495735}",25,0,-129.52376700436136,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.6894490858690777}",20,0,-4.0727247181993,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.682554595010387}",30,11,-50.15713072957233,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.01, 'e': 0.6757290490602831}",20,0,-156.91825194889287,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
40,False,"{'a': 0.01, 'e': 0.6689717585696803}",20,0,-44.79485216349677,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.6622820409839835}",20,8,-71.68808888522372,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
42,False,"{'a': 0.01, 'e': 0.6556592205741436}",20,3,-32.23764732472594,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.6491026283684022}",25,4,-25.337628176963943,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.6426116020847181}",25,0,-57.562813969517805,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.6361854860638709}",30,3,-157.15273685579743,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 4}",1
46,False,"{'a': 0.01, 'e': 0.6298236312032323}",20,12,15.181047931346813,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.6235253948912}",25,3,-24.97212954164004,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.617290140942288}",20,7,-85.70958572627904,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.611117239532865}",25,0,-119.23446625601962,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.6050060671375364}",35,23,-29.07095595653027,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.598956006466161}",20,0,-44.98700041812733,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.5929664464014994}",25,4,-168.16097880535523,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 4}",1
53,False,"{'a': 0.01, 'e': 0.5870367819374844}",20,0,-2.7540226869998685,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.5811664141181095}",25,11,-25.723098069705767,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
