trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.2257639085159,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.00493764368187,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.55684632939042,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.87917460692748,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.97452398552628,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.22544306404635,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,1,-79.07514128836034,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,7,-24.045020822592694,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.12696650123692,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.62184557118772,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.16044239870084,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.90030824445209,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.10408328300663,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.43825187995427,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-224.10229984460432,"{0: 16, 1: 8, 2: 8, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.25506119131526,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.43237531469234,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,4,-90.73554049379365,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.00004321409375,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.78422889902197,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.5440455559181,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.99074368447317,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.75450573241112,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.45762279043588,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.57323791368904,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,2,-105.0205357302128,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.73728434306858,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,6,-97.96601096705344,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.0724421546842,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.62738860690011,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
